,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9
Row_1,"168,85","126,85","84,85","42,85","0,85","-42,85","-84,85","-126,85","-168,85"
Row_2,"168,125","126,125","84,125","42,125","0,125","-42,125","-84,125","-126,125","-168,125"
Row_3,"168,167","126,167","84,167","42,167","0,167","-42,167","-84,167","-126,167","-168,167"
Row_4,"168,210","126,210","84,210","42,210","0,210","-42,210","-84,210","-126,210","-168,210"
Row_5,"168,251","126,251","84,251","42,251","0,251","-42,251","-84,251","-126,251","-168,251"
Row_6,"168,293","126,293","84,293","42,293","0,293","-42,293","-84,293","-126,293","-168,293"
Row_7,"168,335","126,335","84,335","42,335","0,335","-42,335","-84,335","-126,335","-168,335"
Row_8,"168,377","126,377","84,377","42,377","0,377","-42,377","-84,377","-126,377","-168,377"
Row_9,"168,419","126,419","84,419","42,419","0,419","-42,419","-84,419","-126,419","-168,419"
Row_10,"168,461","126,461","84,461","42,461","0,461","-42,461","-84,461","-126,461","-168,461"
